카드사,상품명,전월실적,연회비(국내),연회비(국내외),모든가맹점,교통,주유,마트/편의점,쇼핑,푸드,배달,카페/디저트,뷰티/피트니스,생활요금,의료,애완동물,자동차/하이패스,레져/스포츠,영화/문화,간편결제,항공,프리미엄,여행/숙박,해외,디지털구독,멤버십,교육/육아,금융,기타
삼성,삼성카드 taptap O,30,1,1,,1,,,1,,,1,,1,,,,,1,,,,,,,,,,
삼성,삼성 iD ON 카드,30,2,2,,1,,,,,1,1,,1,,,,,,1,,,,1,1,,,,
삼성,삼성 iD EV 카드,30,1.5,1.5,,,1,,,,1,,,,,,1,,,,,,,1,1,,,,
삼성,신세계이마트 삼성카드7,30,1.8,2,,,,,1,,,,,,,,,,1,,,,,,,,,,1
삼성,THE iD. PLATINUM(포인트),50,21.5,22,,,,,,,,1,,,,,,,,,1,1,,,1,,,,
삼성,삼성 iD SIMPLE 카드,0,0.7,0.7,1,,,,1,,,,,,,,,,1,,,,,,,,,,
삼성,taptap DIGITAL,30,1,1,,,,1,,,,,,,,,,,,1,,,,1,1,,,,
삼성,국민행복 삼성카드 V2,0,,,,,,,1,,,,,1,,,,,,,,,,1,1,,1,,
삼성,네이버페이 taptap,30,1.5,1.5,,,,,,,,1,,,,,,,,1,,,,,,,,,
삼성,삼성 iD ALL 카드,40,2,2,1,,1,1,1,,,,,1,,,,,,,,,,,,,,,
삼성,삼성 iD VITA 카드,50,2,2,,,,1,,,,,1,1,1,,1,,,,,,,1,,,,,
삼성,삼성 iD EDU 카드,50,3,3,,,,,1,,1,,,1,,,,,,,,,,1,,,1,,
삼성,아시아나 삼성애니패스플래티늄카드,30,,해외,,,1,,,,,1,,,,,1,1,1,,1,,,,,,,,
삼성,모니모카드,30,1,1,,1,,1,1,,1,1,,1,,,,,1,,,,,1,1,,,,
삼성,트레이더스신세계 삼성카드,40,1.5,1.5,,,,1,1,,,1,,1,1,,,,,,,,,,,,1,,
삼성,삼성카드 taptap S,50,1,1,1,,1,,,,,,,,,,,,1,,,,,,,,,,
삼성,American Express Blue(아멕스블루),30,,1.5,,,,1,1,,1,1,,1,,,,,,1,,,,1,1,,,,
삼성,알뜰교통플러스 삼성카드,30,0.8,0.8,,1,,,,,,1,,1,,,,,,,,,1,1,1,,,,
삼성,카카오뱅크 삼성카드,0,0.7,0.7,1,1,,1,1,,1,1,,,,,,,1,,,,,,1,,,,
삼성,삼성 iD ENERGY 카드,50,2,2,,1,1,,,,,1,,,,,1,,,,,,,,,,,,
